employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
128,Steven,Markle,SMARKLE,650.124.1434,2000-03-08,ST_CLERK,2200,NULL,120,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2000-02-06,ST_CLERK,2200,NULL,122,50
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,2000-01-29,SA_MAN,10500,0.2,100,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,2000-01-24,SA_REP,7200,0.1,147,80
165,David,Lee,DLEE,011.44.1346.529268,2000-02-23,SA_REP,6800,0.1,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,2000-03-24,SA_REP,6400,0.1,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,2000-04-21,SA_REP,6200,0.1,147,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,2000-04-21,SA_REP,6100,0.1,148,80
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,2000-01-04,SA_REP,6200,0.1,149,80
183,Girard,Geoni,GGEONI,650.507.9879,2000-02-03,SH_CLERK,2800,NULL,120,50
199,Douglas,Grant,DGRANT,650.507.9844,2000-01-13,SH_CLERK,2600,NULL,124,50
